**** BEGIN LOGGING AT Wed Apr 18 22:05:42 2018

Apr 18 22:05:42 *	Now talking on #shade
Apr 18 22:05:51 <sunderkeenin>	test
Apr 18 22:05:52 <alightshiningindarkn3ss>	duel me phace
Apr 18 22:05:52 <phace_>	!duel bhsr 8
Apr 18 22:05:52 <streamelements>	@bhsr, phace_ wants to duel you for 8 points, you can !accept or !deny within 2 minutes
Apr 18 22:05:55 <mickaleaf>	!points
Apr 18 22:05:55 <streamelements>	@Mickaleaf, Mickaleaf has 750 points and is rank 378/14626 on the leaderboard.
Apr 18 22:05:59 <bhsr>	!accept
Apr 18 22:05:59 *	streamelements bhsr won the Duel vs phace_ PogChamp bhsr won 8 points FeelsGoodMan
Apr 18 22:06:03 <phace_>	D:
Apr 18 22:06:04 <unvalidusername>	!roulette 25
Apr 18 22:06:04 *	streamelements UnvalidUserName lost 25 points in roulette and now has 100 points! FeelsBadMan
Apr 18 22:06:04 <r4ve_>	!points
Apr 18 22:06:06 <5econd5ight>	!roulette 500
Apr 18 22:06:06 *	streamelements 5econd5ight lost 500 points in roulette and now has 625 points! FeelsBadMan
Apr 18 22:06:08 <phace_>	!pints
Apr 18 22:06:11 <docterbeans>	!roulette 50
Apr 18 22:06:11 *	streamelements docterbeans lost 50 points in roulette and now has 45 points! FeelsBadMan
Apr 18 22:06:12 <mellotf2_>	LUL LUL
Apr 18 22:06:15 <bhsr>	@phace_ u wanted to bankrupt me
Apr 18 22:06:17 <zeekaptain>	!points @bhsr
Apr 18 22:06:17 <streamelements>	@zeekaptain, bhsr has 16 points and is rank 7089/14626 on the leaderboard.
Apr 18 22:06:18 <alightshiningindarkn3ss>	!duel 3kho all
Apr 18 22:06:21 <phace_>	xd
Apr 18 22:06:27 <3kho>	i have 0 lol
Apr 18 22:06:30 <zeekaptain>	!duel bhsr 16
Apr 18 22:06:31 <streamelements>	@bhsr, zeekaptain wants to duel you for 16 points, you can !accept or !deny within 2 minutes
Apr 18 22:06:32 <bhsr>	!points zeekaptain
Apr 18 22:06:32 <streamelements>	@bhsr, zeekaptain has 771 points and is rank 364/14626 on the leaderboard.
Apr 18 22:06:36 <phace_>	!duel ALightShiningInDarkn3ss 10
Apr 18 22:06:36 <streamelements>	@alightshiningindarkn3ss, phace_ wants to duel you for 10 points, you can !accept or !deny within 2 minutes
Apr 18 22:06:40 <5econd5ight>	!roulette 499
Apr 18 22:06:40 <bhsr>	!accept
Apr 18 22:06:41 *	streamelements zeekaptain won the Duel vs bhsr PogChamp zeekaptain won 16 points FeelsGoodMan
Apr 18 22:06:46 <alightshiningindarkn3ss>	!accept
Apr 18 22:06:46 *	streamelements alightshiningindarkn3ss won the Duel vs phace_ PogChamp alightshiningindarkn3ss won 10 points FeelsGoodMan
Apr 18 22:06:48 <bhsr>	Fuck u
Apr 18 22:06:50 <zeekaptain>	✝
Apr 18 22:06:50 <r4ve_>	!points
Apr 18 22:06:51 <streamelements>	@R4ve_, R4ve_ has 7578 points and is rank 15/14626 on the leaderboard.
**** ENDING LOGGING AT Wed Apr 18 22:06:52 2018

**** BEGIN LOGGING AT Wed Apr 18 22:06:52 2018

Apr 18 22:06:54 <phace_>	!points
Apr 18 22:06:54 <r4ve_>	what
Apr 18 22:06:54 <streamelements>	@phace_, phace_ has 7 points and is rank 9723/14626 on the leaderboard.
Apr 18 22:06:56 <logstfbot>	http://logs.tf/2007512
Apr 18 22:07:05 <supahkiwi_>	!points
Apr 18 22:07:05 <streamelements>	@supahkiwi_, supahkiwi_ has 3903 points and is rank 38/14626 on the leaderboard.
Apr 18 22:07:06 <docterbeans>	!roulette 40
Apr 18 22:07:06 <phace_>	!roulette all
Apr 18 22:07:06 *	streamelements PogChamp phace_ went all in and won 7 points PogChamp he now has 14 points FeelsGoodMan
Apr 18 22:07:10 <unvalidusername>	!roulette all
Apr 18 22:07:11 *	streamelements UnvalidUserName went all in and lost every single one of his 100 points LUL
Apr 18 22:07:14 <dongaconga>	!roulette all
Apr 18 22:07:14 *	streamelements dongaconga went all in and lost every single one of his 30 points LUL
Apr 18 22:07:15 <5econd5ight>	!roulette all
**** ENDING LOGGING AT Wed Apr 18 22:07:15 2018

**** BEGIN LOGGING AT Wed Apr 18 22:07:15 2018

Apr 18 22:07:15 *	streamelements PogChamp 5econd5ight went all in and won 625 points PogChamp he now has 1250 points FeelsGoodMan
Apr 18 22:07:15 <docterbeans>	!roulette all
Apr 18 22:07:16 <unvalidusername>	LUL
Apr 18 22:07:17 <phace_>	!roulette 4
Apr 18 22:07:22 <supahkiwi_>	!roulette all
Apr 18 22:07:22 *	streamelements supahkiwi_ went all in and lost every single one of his 3903 points LUL
Apr 18 22:07:23 <bhsr>	I’d have a few hundred points if i never gambled...
Apr 18 22:07:26 <r4ve_>	!roulette 1000
Apr 18 22:07:26 *	streamelements R4ve_ won 1000 points in roulette and now has 8578 points! FeelsGoodMan
Apr 18 22:07:28 <supahkiwi_>	...
Apr 18 22:07:30 <bhsr>	Stay in school kids
